gpsTime, uid, latitude, longitude, altitude, rssi
0000-01-01 14:39:37.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -58}
0000-01-01 14:39:39.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -59}
0000-01-01 14:39:41.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -58}
0000-01-01 14:39:43.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -59, Port 2: -58}
0000-01-01 14:39:45.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -58}
0000-01-01 14:39:47.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -57, Port 2: -58}
0000-01-01 14:39:49.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -57, Port 2: -58}
0000-01-01 14:39:51.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.61155199999999, {Port 1: -57, Port 2: -58}
0000-01-01 14:39:53.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.61155199999999, {Port 1: -56, Port 2: -57}
0000-01-01 14:39:55.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.61155199999999, {Port 1: -57, Port 2: -57}
0000-01-01 14:39:57.000, 1435706f, -37.54899, 175.26212666666666, 107.61155199999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:39:59.000, 1435706f, -37.54899, 175.26212666666666, 107.61155199999999, {Port 1: -58, Port 2: -57}
0000-01-01 14:40:01.000, 1435706f, -37.54899, 175.262125, 107.61155199999999, {Port 1: -58, Port 2: -57}
0000-01-01 14:40:03.000, 1435706f, -37.54899, 175.262125, 107.61155199999999, {Port 1: -59, Port 2: -57}
0000-01-01 14:40:05.000, 1435706f, -37.54899, 175.262125, 107.61155199999999, {Port 1: -58, Port 2: -56}
0000-01-01 14:40:07.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -59, Port 2: -56}
0000-01-01 14:40:09.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -57, Port 2: -56}
0000-01-01 14:40:11.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -58, Port 2: -57}
0000-01-01 14:40:13.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -58, Port 2: -57}
0000-01-01 14:40:15.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -58, Port 2: -57}
0000-01-01 14:40:17.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -58, Port 2: -58}
0000-01-01 14:40:19.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -57, Port 2: -57}
0000-01-01 14:40:21.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -57, Port 2: -58}
0000-01-01 14:40:23.000, 1435706f, -37.54899, 175.262125, 107.28346800000001, {Port 1: -58, Port 2: -58}
